Latency (ms), Jitter (ms), Bit Rate (Mbps), Packet Loss Rate (%), Peak Data Rate DL (Gbps), Peak Data Rate UL (Gbps), Mobility (km/h), Reliability (%), Service Availability (%), Survival Time (ms), Experienced Data Rate DL (Mbps), Experienced Data Rate UL (Mbps), Interruption Time (ms), Service
15.0,5.0,11.0,0.1,18.0,7.0,260.0,95.0,99.0,8.0,1000.0,500.0,1000.0, UHD_Video_Streaming
5.0,5.5,10.0,1.0,20.0,10.0,20.0,95.0,99.2,9.0,990.0,440.0,2000.0, UHD_Video_Streaming
8.0,10.0,50.0,3.8,15.0,7.0,15.0,97.0,99.9,10.0,1000.0,50.0,0.2, Immerse_Experience
40.0,1.0,0.5,1e-05,18.0,9.0,0.0,99.92,99.999,10.0,5.0,8.0,0.0, Smart_Grid
90.0,18.0,0.2,0.08,13.0,2.0,480.0,99.9995,99.9999,100.0,10.0,10.0,1000.0, ITS
130.0,5.0,8.0,0.9,14.0,6.0,400.0,99.94,95.0,100.0,50.0,25.0,0.0, Vo5G
10.0,19.0,32.0,4.7,13.0,5.0,26.0,95.6,99.92,8.9,900.0,40.0,0.1, Immerse_Experience
2.0,3.0,15.0,8e-09,0.2,0.2,100.0,99.99996,99.0,1.0,10.0,100.0,0.0, e_Health
5.0,0.5,10.0,0.00075,0.8,0.024,80.0,99.9992,99.0,1.0,50.0,25.0,0.0, Connected_Vehicles
1.0,0.05,0.6,1e-07,15.0,6.0,28.0,99.999,99.9999,0.0,1.0,10.0,100.0, Industry_Automation
8.0,5.0,10.0,1e-08,0.25,0.26,20.0,99.9999,99.9,50.0,11.0,99.0,1.0, e_Health
70.0,4.0,12.0,0.001,0.05,0.12,2.0,99.0,99.0,10.0,10.0,100.0,5.0, Surveillance
7.0,6.0,8.0,0.8,19.0,5.0,430.0,97.8,99.1,8.2,500.0,300.0,3000.0, UHD_Video_Streaming
10.0,1.0,0.8,0.0001,15.0,10.0,2.0,99.9,99.9999,11.0,7.0,6.0,0.5, Smart_Grid
32.0,28.0,9.0,1.0,12.0,8.0,50.0,99.9,95.5,99.0,49.0,25.0,1.0, Vo5G
40.0,0.1,0.5,7e-08,12.0,8.0,15.0,99.9991,99.99,50.0,10.0,8.4,1.0, Industry_Automation
15.0,10.0,0.5,0.1,18.0,5.0,120.0,99.999,99.99991999999999,10.0,8.0,10.0,2000.0, ITS
13.0,5.0,9.0,0.0008,0.03,0.14,30.0,99.87,99.2,50.0,8.0,92.0,10.0, Surveillance
15.0,7.0,10.0,5.0,12.0,10.0,1.0,95.0,99.99,10.1,960.0,32.0,0.15, Immerse_Experience
10.0,0.44,5.0,0.001,0.7,0.025,200.0,99.999,95.0,50.0,51.0,20.0,1.0, Connected_Vehicles
20.0,30.0,10.0,0.8,19.0,7.0,12.0,99.96,96.0,98.5,49.5,20.0,1.5, Vo5G
10.0,10.0,12.0,9e-09,0.3,0.3,80.0,99.99995,99.99,49.0,12.0,98.0,0.2, e_Health
5.0,1.2,1.0,8e-05,20.0,5.0,0.0,99.93,99.9992,15.0,10.0,5.0,0.3, Smart_Grid
100.0,0.2,8.0,0.0002,1.0,0.03,50.0,99.9996,98.9,48.0,49.0,23.0,0.5, Connected_Vehicles
50.0,0.07,1.0,4e-08,8.0,2.0,15.0,99.9994,99.992,99.0,8.0,3.2,20.0, Industry_Automation
1.0,2.0,16.0,7e-09,0.4,0.1,5.0,99.99991999999999,99.9999,2.0,10.0,10.0,0.1, e_Health
10.0,3.0,10.0,0.001,0.06,0.01,300.0,99.2,99.1,90.0,9.0,80.0,8.0, Surveillance
20.0,5.84,10.0,1.0,20.0,10.0,500.0,96.0,99.999,15.0,950.0,100.0,2500.0, UHD_Video_Streaming
10.0,20.0,0.5,0.09,20.0,10.0,80.0,99.9992,99.99991,99.0,10.0,9.0,1500.0, ITS
150.0,15.0,10.0,0.7,20.0,5.0,0.0,99.95,99.0,99.2,40.0,20.0,0.0, Vo5G
50.0,0.8,0.4,9e-05,19.0,8.0,1.0,99.9,99.9993,20.0,5.0,5.0,0.1, Smart_Grid
7.0,20.0,42.0,4.2,20.0,10.0,30.0,98.0,99.992,9.1,980.0,20.0,0.3, Immerse_Experience
100.0,4.2,11.0,0.0009400000000000001,0.04,0.11,100.0,99.1,99.8,15.0,9.2,95.0,7.0, Surveillance
3.0,0.46,9.0,0.001,0.9,0.04,160.0,99.9995,97.5,2.0,48.9,20.0,0.2, Connected_Vehicles
100.0,15.0,0.43,0.1,15.0,3.0,460.0,99.9995,99.99999,98.0,7.0,6.0,9000.0, ITS
36.0,0.08,0.8,1e-07,20.0,10.0,12.0,99.999,99.999,100.0,7.0,2.5,99.0, Industry_Automation
5.0,7.0,18.0,9e-09,0.27,0.3,70.0,99.99999,99.999,3.0,9.0,15.0,0.15, e_Health
